Datum/Uhrzeit;Elektrische_Last [kW];Warmwasser_Last [kW]; Außentemperatur [ºC];PV_Erzeugung [kW];Wärme_Last_diesel 23°C [kW];Kühl_Last_diesel 23°C [kW];Wärme_Last_elektrisch 23°C [kW];Kühl_Last_elektrisch 23°C [kW]
14.07.2019 00:00;0,256;0;21,755;0;0;0,06;0;0,067
14.07.2019 01:00;0,256;0;21,027;0;0,01;0;0;0,001
14.07.2019 02:00;0,256;0;20,527;0;0,06;0;0,045;0
14.07.2019 03:00;0,256;0;20,117;0;0,1;0;0,082;0
14.07.2019 04:00;0,256;0;19,732;0;0,13;0;0,117;0
14.07.2019 05:00;0,256;0;19,322;0;0,17;0;0,154;0
14.07.2019 06:00;0,28;0;18,941;0;0,21;0;0,189;0
14.07.2019 07:00;1,916;0,2;19,013;0,031;0,16;0;0,134;0
14.07.2019 08:00;3,326;1,39;20,183;0,193;0;0,12;0;0,172
14.07.2019 09:00;1,331;0;22,323;0,348;0;0,36;0;0,432
14.07.2019 10:00;0,301;0,5;24,307;0,475;0;0,75;0;0,855
14.07.2019 11:00;0,301;0;25,763;0,573;0;1,07;0;1,197
14.07.2019 12:00;6,496;0;26,999;0,639;0;1,32;0;1,467
14.07.2019 13:00;0,25;0;28,025;0,675;0;1,5;0;1,652
14.07.2019 14:00;0,256;0;28,837;0,683;0;1,78;0;1,933
14.07.2019 15:00;0,451;0,1;29,427;0,659;0;1,61;0;1,755
14.07.2019 16:00;0,866;0;29,738;0,607;0;1,54;0;1,664
14.07.2019 17:00;0,276;0;29,814;0,528;0;1,4;0;1,498
14.07.2019 18:00;7,536;0,5;29,62;0,417;0;1,19;0;1,255
14.07.2019 19:00;0,366;0,1;29,163;0,279;0;0,93;0;0,964
14.07.2019 20:00;0,426;0;28,337;0,118;0;0,65;0;0,647
14.07.2019 21:00;0,436;1,39;26,159;0;0;0,31;0;0,298
14.07.2019 22:00;0,44;0;24,872;0;0;0,36;0;0,35
14.07.2019 23:00;0,286;0;23,852;0;0;0,26;0;0,257
15.07.2019 00:00;0,256;0;22,95;0;0;0,18;0;0,175
15.07.2019 01:00;0,256;0;22,273;0;0;0,11;0;0,114
15.07.2019 02:00;0,256;0;21,798;0;0;0,07;0;0,071
15.07.2019 03:00;0,256;0;21,421;0;0;0,03;0;0,036
15.07.2019 04:00;0,256;0;21,115;0;0;0;0;0,009
15.07.2019 05:00;0,261;0;20,806;0;0,03;0;0,019;0
15.07.2019 06:00;0,28;0,5;20,419;0;0,07;0;0,055;0
15.07.2019 07:00;0,281;0;20,502;0,034;0,02;0;0;0,002
15.07.2019 08:00;1,331;0;21,728;0,2;0;0,28;0;0,319
15.07.2019 09:00;4,706;0,1;23,879;0,352;0;0,51;0;0,584
15.07.2019 10:00;0,931;0;26,584;0,475;0;0,98;0;1,071
15.07.2019 11:00;2,896;;28,89;0,568;0;1,38;0;1,49
15.07.2019 12:00;4,816;0;30,497;0,632;0;1,67;0;1,793
15.07.2019 13:00;0,72;0;31,502;0,667;0;1,84;0;1,979
15.07.2019 14:00;0,291;0;32,131;0,674;0;1,92;0;2,06
15.07.2019 15:00;1,516;0,1;32,524;0,652;0;1,92;0;2,044
15.07.2019 16:00;0,401;0;32,664;0,6;0;1,83;0;1,936
15.07.2019 17:00;0,471;0,2;32,542;0,52;0;1,66;0;1,744
15.07.2019 18:00;0,816;0;32,16;0,411;0;1,43;0;1,484
15.07.2019 19:00;4,341;0;31,461;0,275;0;1,15;0;1,172
15.07.2019 20:00;3,466;1,39;30,319;0,117;0;0,84;0;0,827
15.07.2019 21:00;0,966;1,39;27,784;0;0;0,47;0;0,445
15.07.2019 22:00;0,32;0;26,344;0;0;0,5;0;0,484
15.07.2019 23:00;0,316;0;25,275;0;0;0,4;0;0,387
16.07.2019 00:00;0,256;0;24,389;0;0;0,31;0;0,306
16.07.2019 01:00;0,256;0;23,619;0;0;0,24;0;0,236
16.07.2019 02:00;0,256;0;22,949;0;0;0,18;0;0,175
16.07.2019 03:00;0,256;0;22,438;0;0;0,13;0;0,129
16.07.2019 04:00;0,256;0;22,055;0;0;0,09;0;0,094
16.07.2019 05:00;0,256;0;21,711;0;0;0,06;0;0,063
16.07.2019 06:00;0,26;0;21,505;0;0;0,04;0;0,044
16.07.2019 07:00;3,666;0;22,02;0,036;0;0,13;0;0,141
16.07.2019 08:00;4,016;0,2;24,186;0,205;0;0,52;0;0,549
16.07.2019 09:00;0,321;1,39;25,941;0,355;0;0,72;0;0,781
16.07.2019 10:00;0,736;0;27,293;0,478;0;1,05;0;1,145
16.07.2019 11:00;5,361;0;27,919;0,575;0;1,29;0;1,41
16.07.2019 12:00;0,766;0;28,101;0,642;0;1,62;0;1,763
16.07.2019 13:00;0,245;0;28,01;0,681;0;1,69;0;1,846
16.07.2019 14:00;8,421;0;27,963;0,69;0;1,53;0;1,685
16.07.2019 15:00;0,256;0;27,91;0,668;0;1,48;0;1,628
16.07.2019 16:00;0,976;0,3;27,793;0,616;0;1,36;0;1,496
16.07.2019 17:00;0,286;0;27,598;0,534;0;1,19;0;1,297
16.07.2019 18:00;1,026;0;27,214;0,421;0;0,96;0;1,035
16.07.2019 19:00;10,416;0;26,529;0,281;0;0,68;0;0,722
16.07.2019 20:00;0,376;1,39;25,327;0,118;0;0,36;0;0,371
16.07.2019 21:00;0,336;0,1;23,437;0;0;0,05;0;0,049
16.07.2019 22:00;0,965;0;22,093;0;0;0,09;0;0,098
16.07.2019 23:00;0,421;0;21,327;0;0;0,02;0;0,028
17.07.2019 00:00;0,256;0;20,784;0;0,03;0;0,021;0
17.07.2019 01:00;0,256;0;20,301;0;0,08;0;0,065;0
17.07.2019 02:00;0,256;0;19,925;0;0,11;0;0,099;0
17.07.2019 03:00;0,256;0;19,762;0;0,13;0;0,114;0
17.07.2019 04:00;0,256;0;19,67;0;0,14;0;0,123;0
17.07.2019 05:00;0,256;0;19,637;0;0,14;0;0,126;0
17.07.2019 06:00;0,31;0;19,533;0;0,15;0;0,135;0
17.07.2019 07:00;0,436;0,2;19,578;0,032;0,11;0;0,084;0
17.07.2019 08:00;3,816;1,39;20,861;0,201;0;0,19;0;0,24
17.07.2019 09:00;1,891;1,39;22,447;0,356;0;0,38;0;0,456
17.07.2019 10:00;0,301;0;23,676;0,484;0;0,71;0;0,812
17.07.2019 11:00;0,301;0;24,751;0,583;0;0,99;0;1,121
17.07.2019 12:00;5,536;0;25,811;0,65;0;1,22;0;1,376
