;;Elektrische_Last [kW];Warmwasser_Last [kW]; Außentemperatur [ºC];PV_Erzeugung [kW];Wärme_Last 23°C [W];Kühl_Last 23°C [W];Sonneneinstrahlung [W/m²]
20.07.2023;00:00:00;0,256;0;19.481;0;0;60,99;0
20.07.2023;01:00:00;0,256;0;19.134;0;8,6;0;0
20.07.2023;02:00:00;0,256;0;18.827;0;56,4;0;0
20.07.2023;03:00:00;0,256;0;18.528;0;95,59;0;0
20.07.2023;04:00:00;0,256;0;18.332;0;132,39;0;0
20.07.2023;05:00:00;0,256;0;18.493;0.024;171,59;0;34.043
20.07.2023;06:00:00;0,28;0;19.671;0.184;208,01;0;190.957
20.07.2023;07:00:00;1,916;0;22.154;0.342;160,04;0;391.331
20.07.2023;08:00:00;3,326;1,393333333;24.696;0.470;0;122,03;588.233
20.07.2023;09:00:00;1,331;0;26.461;0.567;0;356,81;758.606
20.07.2023;10:00:00;0,301;0;27.857;0.634;0;752,9;887.008
20.07.2023;11:00:00;0,301;0;28.973;0.670;0;1071,1;963.449
20.07.2023;12:00:00;6,496;0;29.767;0.680;0;1323,73;988.878
20.07.2023;13:00:00;0,25;0;30.277;0.658;0;1500,33;949.571
20.07.2023;14:00:00;0,256;0;30.418;0.608;0;1781,36;855.425
20.07.2023;15:00:00;0,451;0;30.313;0.530;0;1613,18;715.995
20.07.2023;16:00:00;0,866;0;29.945;0.421;0;1541,06;534.186
20.07.2023;17:00:00;0,276;0;29.270;0.284;0;1400,87;332.664
20.07.2023;18:00:00;7,536;0;28.066;0.123;0;1189,98;136.161
20.07.2023;19:00:00;0,366;0;25.650;0;0;933,49;9.767
20.07.2023;20:00:00;0,426;0;23.920;0;0;648,24;0
20.07.2023;21:00:00;0,436;1,393333333;22.601;0;0;310,92;0
20.07.2023;22:00:00;0,44;0;21.669;0;0;358,95;0
20.07.2023;23:00:00;0,286;0;21.070;0;0;261,44;0
21.07.2023;00:00:00;0,256;0;20.686;0;0;175,22;0
21.07.2023;01:00:00;0,256;0;20.389;0;0;110,5;0
21.07.2023;02:00:00;0,256;0;20.127;0;0;65,1;0
21.07.2023;03:00:00;0,256;0;19.862;0;0;29,06;0
21.07.2023;04:00:00;0,256;0;19.538;0;0,19;0;0
21.07.2023;05:00:00;0,261;0;19.658;0.028;29,73;0;36.017
21.07.2023;06:00:00;0,28;0;21.026;0.195;66,72;0;199.270
21.07.2023;07:00:00;0,281;0;23.286;0.348;16,66;0;400.346
21.07.2023;08:00:00;1,331;0;26.502;0.471;0;275,91;596.628
21.07.2023;09:00:00;4,706;0;29.588;0.563;0;513,72;766.899
21.07.2023;10:00:00;0,931;0;31.622;0.627;0;978,47;896.125
21.07.2023;11:00:00;2,896;0;32.842;0.662;0;1377,21;973.861
21.07.2023;12:00:00;4,816;0;33.562;0.669;0;1665,51;994.740
21.07.2023;13:00:00;0,72;0;33.954;0.648;0;1841,56;954.463
21.07.2023;14:00:00;0,291;0;34.018;0.598;0;1922,36;857.829
21.07.2023;15:00:00;1,516;0;33.765;0.519;0;1915,9;712.706
21.07.2023;16:00:00;0,401;0;33.161;0.412;0;1825,9;531.765
21.07.2023;17:00:00;0,471;0;32.090;0.278;0;1660,03;331.235
21.07.2023;18:00:00;0,816;0;30.425;0.121;0;1431,61;135.232
21.07.2023;19:00:00;4,341;0;27.452;0;0;1152,66;9.471
21.07.2023;20:00:00;3,466;1,393333333;25.440;0;0;837,29;0
21.07.2023;21:00:00;0,966;1,393333333;23.965;0;0;465,98;0
21.07.2023;22:00:00;0,32;0;22.882;0;0;499,66;0
21.07.2023;23:00:00;0,316;0;22.042;0;0;397,47;0
22.07.2023;00:00:00;0,256;0;21.400;0;0;312,78;0
22.07.2023;01:00:00;0,256;0;20.920;0;0;239,17;0
22.07.2023;02:00:00;0,256;0;20.520;0;0;175,12;0
22.07.2023;03:00:00;0,256;0;20.126;0;0;126,28;0
22.07.2023;04:00:00;0,256;0;19.867;0;0;89,67;0
22.07.2023;05:00:00;0,256;0;20.057;0.031;0;56,78;37.186
22.07.2023;06:00:00;0,26;0;21.631;0.204;0;37,09;205.951
22.07.2023;07:00:00;3,666;0;23.713;0.357;0;129,46;411.003
22.07.2023;08:00:00;4,016;0;26.722;0.480;0;516,54;609.531
22.07.2023;09:00:00;0,321;1,393333333;28.654;0.574;0;719,02;780.557
22.07.2023;10:00:00;0,736;0;29.420;0.641;0;1054,78;909.277
22.07.2023;11:00:00;5,361;0;29.491;0.679;0;1292,07;985.127
22.07.2023;12:00:00;0,766;0;29.352;0.689;0;1622,63;1.003.902
22.07.2023;13:00:00;0,245;0;29.144;0.668;0;1692,15;962.205
22.07.2023;14:00:00;8,421;0;28.867;0.617;0;1527,57;864.200
22.07.2023;15:00:00;0,256;0;28.500;0.535;0;1477,82;717.523
22.07.2023;16:00:00;0,976;0;27.917;0.424;0;1362,72;534.189
22.07.2023;17:00:00;0,286;0;27.031;0.286;0;1189,52;331.957
22.07.2023;18:00:00;1,026;0;25.596;0.125;0;959,33;135.212
